date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,sunshine_duration,wind_speed_10m_max,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_mean
2022-09-19 16:00:00+00:00,25.903334,31.3575,23.2575,29358.451,10.495713,9.900001,88.52044,4.2370033
2022-09-20 16:00:00+00:00,25.515833,31.0575,22.5575,34339.48,9.904906,16.0,88.34484,3.2727544
2022-09-21 16:00:00+00:00,26.013754,30.3075,22.7575,38356.285,10.028439,2.3999999,83.63227,4.138143
2022-09-22 16:00:00+00:00,26.661667,30.907501,22.7575,40072.285,12.313893,0.90000004,76.58078,7.1134925
2022-09-23 16:00:00+00:00,25.669998,29.9575,22.3075,25906.762,13.049689,9.2,83.12995,7.3416724
2022-09-24 16:00:00+00:00,24.701248,28.3075,23.2075,4760.931,15.941944,57.8,94.538536,9.476663
2022-09-25 16:00:00+00:00,25.317917,29.3575,22.907501,15569.5,15.158522,17.8,92.19126,5.779011
2022-09-26 16:00:00+00:00,25.936666,30.8575,23.0075,29594.592,8.64,14.0,89.490395,3.7928572
2022-09-27 16:00:00+00:00,25.71167,31.0075,22.8575,28577.01,13.276144,36.700005,89.99518,4.602945
2022-09-28 16:00:00+00:00,25.655416,31.6075,22.3075,40017.562,11.592894,4.9,88.21952,5.0893073
2022-09-29 16:00:00+00:00,25.513748,30.5075,22.3075,33155.273,9.673221,13.400001,88.30814,5.0754676
2022-09-30 16:00:00+00:00,26.12208,31.3075,23.0075,39898.996,9.793058,3.9,87.15748,4.8869615
2022-10-01 16:00:00+00:00,25.43875,28.657501,23.2575,20704.166,9.0,19.199999,90.25179,3.9850905
2022-10-02 16:00:00+00:00,25.436666,28.6075,22.8575,6196.2964,10.587918,24.7,91.210976,4.148599
2022-10-03 16:00:00+00:00,25.869997,30.7575,22.907501,27519.549,10.829959,18.9,89.1249,4.767055
2022-10-04 16:00:00+00:00,25.978338,30.657501,22.4575,36322.617,9.3669195,13.999999,86.58665,5.1355267
2022-10-05 16:00:00+00:00,25.605417,31.0575,22.8075,30601.613,8.64,4.8999996,89.83677,4.3392215
2022-10-06 16:00:00+00:00,26.140837,31.1075,22.8575,38664.75,13.70839,1.7,87.125,5.110639
2022-10-07 16:00:00+00:00,25.801252,30.8575,23.1075,38925.633,11.440979,8.5,88.669624,4.7685966
2022-10-08 16:00:00+00:00,25.140833,29.907501,22.7075,31018.602,7.771331,6.0,89.29645,4.2587633
2022-10-09 16:00:00+00:00,24.930418,29.4575,22.3075,38006.113,17.462784,12.099999,88.43987,10.19683
2022-10-10 16:00:00+00:00,25.032503,27.3575,23.3075,13550.298,23.683512,10.5,86.36704,16.458605
2022-10-11 16:00:00+00:00,23.792915,26.157501,22.7075,487.40524,16.071491,100.7,96.16988,8.300427
2022-10-12 16:00:00+00:00,25.02833,29.9575,22.6075,17912.86,12.24,38.4,90.71958,5.412727
2022-10-13 16:00:00+00:00,26.363752,31.6075,22.6075,39195.21,15.188415,2.2,81.69155,9.033707
2022-10-14 16:00:00+00:00,25.126245,29.8075,22.407501,20713.2,16.862455,15.9,89.86974,5.8951817
2022-10-15 16:00:00+00:00,26.749166,31.0075,23.2575,2146.803,16.75064,0.70000005,79.09739,11.134579
2022-10-16 16:00:00+00:00,26.826254,32.607502,22.3575,38175.93,9.346143,0.70000005,77.770775,5.2073593
2022-10-17 16:00:00+00:00,25.855417,31.2575,23.157501,31207.2,10.805998,10.0,87.15363,4.559009
2022-10-18 16:00:00+00:00,25.005417,28.9575,22.7575,13272.522,12.397806,23.999998,93.01795,4.470703
2022-10-19 16:00:00+00:00,24.097086,24.907501,23.3075,0.0,9.028754,65.00001,98.193596,5.5111995
2022-10-20 16:00:00+00:00,24.7325,27.2075,23.0575,12005.492,11.212135,9.3,91.43518,6.246584
2022-10-21 16:00:00+00:00,26.351252,31.657501,23.3075,35551.133,13.684735,31.4,88.30016,3.648122
2022-10-22 16:00:00+00:00,25.636667,30.8575,22.7075,34705.047,10.587918,18.5,91.04189,4.63919
2022-10-23 16:00:00+00:00,25.282501,29.7575,23.0075,28631.623,12.224107,16.6,90.388695,6.8977914
2022-10-24 16:00:00+00:00,24.667913,28.8575,22.657501,21555.303,15.192682,31.100002,89.5566,11.052407
2022-10-25 16:00:00+00:00,25.415838,29.3575,23.0575,22784.77,14.182355,1.3000001,77.67643,10.653628
2022-10-26 16:00:00+00:00,25.786669,29.5075,22.6075,36000.0,16.93531,2.1,76.27586,12.020535
2022-10-27 16:00:00+00:00,24.622086,27.9575,23.2075,8963.692,17.31746,39.300003,91.897804,12.849641
2022-10-28 16:00:00+00:00,23.905418,24.907501,23.4575,0.0,18.775301,83.299995,98.06335,15.895904
2022-10-29 16:00:00+00:00,25.23667,28.7575,23.8575,10860.254,18.581022,44.100002,95.45644,7.648821
2022-10-30 16:00:00+00:00,27.005419,30.3575,23.657501,33286.11,19.813087,4.2999997,82.82149,12.50965
2022-10-31 16:00:00+00:00,27.942917,31.7575,24.3575,38354.5,18.844202,1.3,75.735054,11.6464
2022-11-01 16:00:00+00:00,26.38875,31.7075,22.0075,38817.508,11.753877,1.5,83.30581,4.6483502
2022-11-02 16:00:00+00:00,25.784586,30.907501,22.657501,35191.426,6.519877,33.9,87.76702,4.1259217
2022-11-03 16:00:00+00:00,25.251251,30.657501,22.2575,32203.754,9.339208,15.1,89.53898,3.8151884
2022-11-04 16:00:00+00:00,25.101252,30.0075,22.5075,29778.994,10.464797,2.6,89.82421,4.5575757
2022-11-05 16:00:00+00:00,25.28042,30.2575,22.657501,36920.22,11.966953,12.099999,89.09214,4.130093
2022-11-06 16:00:00+00:00,24.830416,29.3575,22.657501,31709.805,9.028754,23.5,90.975075,4.069518
2022-11-07 16:00:00+00:00,24.376251,26.9575,22.4575,8610.627,9.290511,3.0000002,92.243164,4.8525543
2022-11-08 16:00:00+00:00,25.12208,29.907501,22.407501,34524.582,11.440979,2.7,89.1889,4.4702263
2022-11-09 16:00:00+00:00,25.542917,31.2575,22.2075,38418.074,12.57426,10.3,88.33239,5.2597337
2022-11-10 16:00:00+00:00,25.792915,30.6075,22.4575,28178.537,5.991594,2.2,88.87656,3.5729973
2022-11-11 16:00:00+00:00,25.847082,31.157501,23.157501,34255.07,10.685391,4.1000004,89.92689,4.5151334
2022-11-12 16:00:00+00:00,26.332504,31.157501,23.0075,37519.15,10.009036,3.3000002,87.07556,4.6921144
2022-11-13 16:00:00+00:00,26.051249,30.907501,23.0575,32158.34,13.527572,2.6000001,84.708374,7.126841
2022-11-14 16:00:00+00:00,25.759584,30.5075,23.6075,34581.58,9.793059,5.6,87.03689,5.7756553
2022-11-15 16:00:00+00:00,26.255419,30.5075,22.5575,38137.0,14.471821,0.9000001,81.52691,7.9793897
2022-11-16 16:00:00+00:00,24.590834,28.2075,22.407501,8873.87,8.854829,8.2,90.876526,5.2690306
2022-11-17 16:00:00+00:00,25.236666,30.2075,22.2075,30118.938,9.726664,0.6,87.94998,4.831716
2022-11-18 16:00:00+00:00,24.90125,30.0075,22.3575,35950.348,11.043261,18.2,89.97769,5.0570693
2022-11-19 16:00:00+00:00,24.224167,26.6075,22.2575,14137.242,6.849467,9.400001,94.357414,3.9086456
2022-11-20 16:00:00+00:00,23.890837,26.1075,22.4575,3600.0,8.707238,14.200001,96.28863,4.742557
2022-11-21 16:00:00+00:00,26.022087,30.5075,22.0075,36261.742,9.779817,0.70000005,85.448364,4.578083
2022-11-22 16:00:00+00:00,25.515833,29.7075,22.7575,27367.98,8.225035,3.8,89.893394,3.7741516
2022-11-23 16:00:00+00:00,26.917913,31.2575,23.0075,37283.137,5.634891,0.2,83.795944,3.4211214
2022-11-24 16:00:00+00:00,26.665833,31.5575,22.5575,36524.17,10.829958,0.1,80.7124,3.752641
2022-11-25 16:00:00+00:00,25.747086,31.657501,20.407501,37743.516,14.685176,0.0,73.0917,5.485869
2022-11-26 16:00:00+00:00,25.87625,31.407501,20.407501,37708.81,18.430452,0.0,78.52967,6.5941525
2022-11-27 16:00:00+00:00,26.213747,31.407501,21.0575,36659.47,17.731598,0.0,78.359505,6.693271
2022-11-28 16:00:00+00:00,26.503332,31.3075,23.2075,34345.92,7.5170207,4.6,85.336815,4.219612
2022-11-29 16:00:00+00:00,25.417917,31.407501,23.157501,28585.41,13.493999,13.900002,90.101105,5.129789
2022-11-30 16:00:00+00:00,25.636667,29.657501,22.6075,32243.959,12.074766,2.0,85.2952,8.17727
2022-12-01 16:00:00+00:00,26.280418,31.1075,23.4575,35454.2,14.917212,3.3000002,80.992775,8.9332285
2022-12-02 16:00:00+00:00,26.242918,30.8075,22.8075,35299.957,13.797913,1.8000002,81.51595,6.13779
2022-12-03 16:00:00+00:00,24.917917,29.407501,22.907501,33919.234,10.464797,6.4,87.565765,5.256681
2022-12-04 16:00:00+00:00,24.617918,28.8575,22.1075,24800.672,6.489992,12.5,90.58492,4.3265376
2022-12-05 16:00:00+00:00,23.853334,26.5575,22.657501,7550.1953,14.4,38.799995,93.820595,7.929882
2022-12-06 16:00:00+00:00,24.705416,28.657501,22.8075,26005.24,13.358861,9.0,89.19445,8.738887
2022-12-07 16:00:00+00:00,24.57208,28.8075,22.4575,25726.213,12.57426,8.900002,89.79157,7.531458
2022-12-08 16:00:00+00:00,25.463753,29.0075,23.0075,24994.559,15.893093,1.4000001,84.78263,8.692683
2022-12-09 16:00:00+00:00,25.17417,28.0575,23.5075,24166.273,18.792551,1.8,78.27085,12.774766
2022-12-10 16:00:00+00:00,25.39292,28.5075,23.157501,28690.36,14.830076,0.0,76.31122,9.975913
2022-12-11 16:00:00+00:00,24.915834,28.657501,21.8075,34237.67,10.853866,0.3,81.77808,6.2991376
2022-12-12 16:00:00+00:00,23.95125,26.3075,23.0075,809.6196,11.4862,11.5,93.26331,6.9680037
2022-12-13 16:00:00+00:00,24.397085,28.1075,22.8075,23650.176,13.891522,3.8999999,90.552,9.130588
2022-12-14 16:00:00+00:00,24.217924,28.0075,22.5075,8844.192,9.007196,14.1,91.73413,6.3403683
