date_cleaned,academic_period,normalized_symptoms,course_mapped,age,gender,visit_count,respiratory_count,digestive_count,pain_count,fever_count,other_count,student_visits,staff_visits,other_visits,date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,sunshine_duration,wind_speed_10m_max,precipitation_sum,relative_humidity_2m_mean,wind_speed_10m_mean,pm10_mean,pm10_max,pm10_min,pm2_5_mean,pm2_5_max,pm2_5_min,carbon_monoxide_mean,carbon_monoxide_max,carbon_monoxide_min,nitrogen_dioxide_mean,nitrogen_dioxide_max,nitrogen_dioxide_min,ozone_mean,ozone_max,ozone_min,aqi_category,high_pm2_5,high_pm10,high_ozone,respiratory_risk_score,pm10_mean_7day,pm2_5_mean_7day,ozone_mean_7day,temperature_range,heat_humidity_index,is_rainy_day,is_hot_day,is_humid_day,is_high_pollution,is_very_high_pollution
2022-11-24,midterm,"cold,dizziness,fever,skin allergy","['bscs', 'bse', 'beed']",19.333333333333332,"['Male', 'Female', 'Male']",3,1,0,0,1,2,3,0,0,,,,,,,,,,12.19,22.6,6.8,8.35,15.6,4.5,130.25,237.0,88.0,3.54,12.3,0.15,32.83,49.0,14.0,good,False,False,False,0,13.84,9.38,29.92,,,False,False,False,False,False
2022-11-28,midterm,"stomach ache,cut","['bstm', 'bat']",20.0,"['Male', 'Female']",2,0,1,0,0,1,2,0,0,,,,,,,,,,13.44,28.3,5.7,9.07,19.2,3.7,145.33,208.0,98.0,3.29,7.25,0.2,29.96,46.0,16.0,good,False,False,False,0,13.79,9.32,30.51,,,False,False,False,False,False
2022-11-29,midterm,"dizziness,headache,hematoma","['bslm', 'beed']",18.5,"['Male', 'Female']",2,0,0,1,0,2,2,0,0,,,,,,,,,,18.28,28.2,10.0,12.26,19.2,6.5,154.0,204.0,114.0,3.15,6.6,0.4,34.54,53.0,18.0,good,False,False,False,0,13.29,8.91,32.86,,,False,False,False,False,False
2022-12-01,midterm,"dizziness,muscle strain,dry mouth","['bslm', 'bsba', 'bsba']",19.0,"['Female', 'Female', ' Female']",3,0,0,1,0,2,3,0,0,,,,,,,,,,9.49,12.0,5.9,6.34,8.1,4.0,105.96,147.0,87.0,1.74,5.8,0.4,36.25,50.0,25.0,good,False,False,False,0,13.28,8.75,38.82,,,False,False,False,False,False
2022-12-03,midterm,"cramps,headache,dysmenorrhea,cramps","['bscrim', 'bse', 'bscrim', 'beed']",19.25,"['Female', 'Female', 'Female', 'Female']",4,0,0,3,0,1,4,0,0,,,,,,,,,,13.5,20.3,10.1,8.75,13.4,6.4,139.79,201.0,107.0,3.03,9.45,0.2,47.21,63.0,33.0,good,False,False,False,0,11.26,7.41,42.24,,,False,False,False,False,False
2022-12-06,midterm,"fever,dysmenorrhea","['baels', 'bscrim']",20.0,"['Female', 'Female']",2,0,0,1,1,0,2,0,0,,,,,,,,,,7.36,12.4,3.2,5.01,8.3,2.2,108.71,130.0,93.0,1.51,3.05,0.4,41.88,51.0,32.0,good,False,False,False,0,9.73,6.4,46.58,,,False,False,False,False,False
2022-12-07,midterm,"cold,cough,infection,headache","['bslm', 'bsit', 'bscs']",20.666666666666668,"['Male', 'Female', 'Female']",3,2,0,1,1,0,3,0,0,,,,,,,,,,7.43,12.2,4.6,4.89,7.9,3.1,111.21,120.0,97.0,1.65,2.8,0.15,42.75,56.0,33.0,good,False,False,False,0,9.5,6.17,49.67,,,False,False,False,False,False
2022-12-14,midterm,"cold,cold,diarrhea","['bsit', 'baels']",18.666666666666668,"['Male', 'Male', 'Male']",3,1,1,0,0,1,2,0,0,,,,,,,,,,1.44,1.8,1.2,1.01,1.3,0.8,61.12,64.0,60.0,0.0,0.0,0.0,30.75,34.0,29.0,good,False,False,False,0,8.42,5.56,42.84,,,False,False,False,False,False
2023-01-03,midterm,"fever,asthma,cold,cough,cold,body pain,cold","['bse', 'bapos', 'others', 'baels', 'bscs']",20.4,"['Female', 'Female', 'Male', 'Male', 'Male']",5,3,0,1,1,2,4,0,1,,,,,,,,,,6.56,10.1,0.2,4.46,6.9,0.1,138.46,147.0,133.0,1.36,2.35,0.65,54.25,68.0,46.0,good,False,False,False,0,9.34,6.14,54.97,,,False,False,False,False,False
2023-01-04,midterm,"cold,fever,cold,cough,body pain,hyperacidity","['bsma', 'bslm', 'bslm', 'bsba']",19.75,"['Female', 'Male', 'Female', 'Female', 'Female']",5,2,1,1,1,1,4,0,0,,,,,,,,,,10.39,14.9,7.5,6.41,9.1,4.7,133.75,151.0,125.0,1.1,2.3,0.4,58.12,67.0,48.0,good,False,False,False,0,10.29,6.66,54.31,,,False,False,False,False,False
