year_week,week_start_date,academic_period,symptoms_combined,courses_list,avg_age,genders_list,week_start,week_end,visit_count,respiratory_count,digestive_count,pain_count,fever_count,other_count,student_visits,staff_visits,other_visits,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,precipitation_sum,wind_speed_10m_mean,sunshine_duration,pm2_5_mean,pm10_mean,ozone_mean,carbon_monoxide_mean,nitrogen_dioxide_mean,respiratory_risk_score,aqi_category,temperature_range,heat_humidity_index,is_rainy_week,is_hot_week,is_humid_week,is_high_pollution,is_very_high_pollution,weather_stress_score
2023-W44,2023-10-30,prelim,,[],20.0,[],2023-10-30,2023-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.58,31.01,22.46,87.41,55.0,5.45,175781.76,8.2,13.25,45.73,186.86,2.92,0.0,good,8.55,22.359478,True,False,True,False,False,2
2023-W45,2023-11-06,midterm,,[],20.0,[],2023-11-06,2023-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.52,31.46,22.66,84.66,24.8,5.82,228769.71,6.83,10.57,42.69,158.04,3.02,0.0,good,8.8,22.451832,True,False,True,False,False,2
2023-W46,2023-11-13,midterm,,[],20.0,[],2023-11-13,2023-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.68,29.76,20.71,84.28,50.9,8.71,195563.41,7.53,12.27,52.66,196.45,2.28,0.0,good,9.05,20.800304,True,False,True,False,False,2
2023-W47,2023-11-20,midterm,,[],20.0,[],2023-11-20,2023-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.36,28.66,19.36,84.8,48.8,7.94,156483.55,12.15,20.25,52.42,202.57,2.39,0.0,good,9.3,20.65728,True,False,True,False,False,2
2023-W48,2023-11-27,midterm,,[],20.0,[],2023-11-27,2023-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,30.01,21.56,90.33,81.9,6.51,180923.2,5.27,8.04,41.02,178.0,2.69,0.0,good,8.450000000000003,22.31151,True,False,True,False,False,2
2023-W49,2023-12-04,midterm,,[],20.0,[],2023-12-04,2023-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.85,31.71,21.46,85.5,18.4,4.9,245621.98,6.76,10.05,43.38,181.51,3.09,0.0,good,10.25,22.10175,True,False,True,False,False,2
2023-W50,2023-12-11,midterm,,[],20.0,[],2023-12-11,2023-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.54,31.41,20.96,82.98,20.2,6.73,250053.64,8.72,13.15,42.7,195.83,4.31,0.0,good,10.45,21.193092,True,False,True,False,False,2
2023-W51,2023-12-18,midterm,,[],20.0,[],2023-12-18,2023-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.72,30.61,20.36,86.84,70.5,11.4,136805.8,4.46,6.92,48.86,201.22,2.52,0.0,good,10.25,20.598448,True,False,True,False,False,2
2023-W52,2023-12-25,midterm,,[],20.0,[],2023-12-25,2023-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.33,29.66,21.41,88.19,68.2,7.46,200725.3,4.67,7.1,47.39,183.6,2.71,0.0,good,8.25,21.456626999999997,True,False,True,False,False,2
2023-W53,2024-01-01,midterm,,[],20.0,[],2024-01-01,2024-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,26.51,22.31,93.26,15.6,7.21,23304.96,5.52,8.39,43.12,165.08,2.83,0.0,good,4.200000000000003,22.28914,True,False,True,False,False,2
2024-W01,2024-01-08,midterm,"auri,cold,cough,wound,cold,cough,headache,hyperacidity,lbm,cold,headache,headache,cold,lbm,cold,cold,skin allergy,cough,cough,cold,cold,dizziness,headache,malaise,dizziness,fever,asthma,abrasion,lbm,abrasion,auri,cold,headache,runny nose,allergy,runny nose,infection,headache,dizziness,asthma,headache,auri,cold,cough,fever,cough,cold,stomach ache,headache,auri,body pain,cold,fever,hyperacidity,vomiting,hyperacidity,stomach ache,body pain,cold,cough,fever,dysmenorrhea,hyperacidity,body pain,dysmenorrhea,cough,cough,cough,auri,auri","['others', 'staff', 'bsba', 'beed', 'bsentrep', 'staff', 'staff', 'staff', 'staff', 'staff', 'staff', 'staff', 'staff', 'bslm', 'staff', 'staff', 'bsentrep', 'bsentrep', 'others', 'bslm', 'bscrim', 'bsais', 'bshm', 'bscrim', 'bslm', 'staff', 'bse', 'staff', 'staff', 'staff', 'baels', 'bscrim', 'bslm', 'bsit', 'bsba', 'bse', 'staff', 'beed', 'bsba', 'bsitautotech', 'bsit', 'bscrim', 'bse', 'baels', 'bapos', 'beed', 'ced', 'ced', 'ced', 'bapos', 'bapos', 'staff', 'bstm', 'bstm']",25.208333333333332,"['Male', 'Male', 'Female', 'Male', 'Female', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Male', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Male', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Female']",2024-01-08,2024-01-11,54.0,5.0,4.0,3.0,3.0,55.0,35.0,17.0,2.0,23.38,29.16,19.11,83.32,24.6,6.92,214632.18,10.43,17.34,57.38,235.08,2.56,0.0,good,10.05,19.480216,True,False,True,False,False,2
2024-W02,2024-01-15,midterm,"cough,hyperventilation,uti,cold,cough,cold,uti,headache,infection,hypertension,headache,headache,cold,cough,fever,headache,cough,cough,cough,cold,cough,dizziness,headache,headache,cold,cough,infection,cold,cold,cough,hyperventilation,punctured wound,hematoma,stomach ache,body pain,headache,migraine,dizziness,headache,auri,allergy,skin allergy,headache,headache,cold,cold,headache,cold,itchy throat,headache,infection","['bsit', 'bse', 'baels', 'bsais', 'bsit', 'staff', 'bsit', 'bscrim', 'ccsict', 'bsba', 'staff', 'staff', 'staff', 'bstm', 'bstm', 'staff', 'staff', 'ced', 'bsit', 'bstm', 'ccsict', 'bscrim', 'bsentrep', 'bscrim', 'bscrim', 'bse', 'staff', 'bsit', 'baels', 'bse', 'beed', 'bscs', 'bscrim', 'bse', 'bse', 'bse', 'beed', 'bscrim']",22.06896551724138,"['Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female', 'Male', 'Male', 'Male', 'Female', 'Female', 'Male', 'Female', 'Female', 'Male', 'Male', 'Female', 'Female', 'Female', 'Male', 'Female', 'Male', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Female', 'Male', 'Female', 'Female', 'Female', 'Male']",2024-01-15,2024-01-18,38.0,4.0,1.0,2.0,2.0,42.0,31.0,7.0,0.0,23.04,29.51,17.91,82.94,12.2,6.53,249537.59,11.43,19.2,62.07,228.89,3.2,0.0,good,11.600000000000001,19.109376,True,False,True,False,False,2
