dow,visits_lag1,visits_lag7,visits_rollmean7,resp_lag1,resp_rollmean7,digest_lag1,digest_rollmean7,temp,humidity,rainfall,pm2_5,visit_count
3,0.0,0.0,1.4285714285714286,0.0,0.42857142857142855,0.0,0.2857142857142857,22.7575,84.34139,2.6999998,8.75,0.0
4,0.0,0.0,1.4285714285714286,0.0,0.42857142857142855,0.0,0.2857142857142857,22.734587,84.15701,0.3,12.01,0.0
5,0.0,1.0,1.2857142857142858,0.0,0.42857142857142855,0.0,0.2857142857142857,23.792915,87.01287,2.4,14.15,0.0
6,0.0,0.0,1.2857142857142858,0.0,0.42857142857142855,0.0,0.2857142857142857,24.224169,84.48,0.3,11.28,0.0
0,0.0,4.0,0.7142857142857143,0.0,0.2857142857142857,0.0,0.14285714285714285,23.161673,84.69743,4.2999997,12.45,0.0
1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.451248,85.401955,12.6,10.15,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.784582,80.10736,0.2,7.49,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.401253,81.30204,0.8000001,8.73,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.324167,76.80874,0.5,10.01,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.557503,78.849144,0.0,7.94,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.136667,83.471886,2.6999998,9.78,0.0
0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,21.776253,76.33632,0.5,9.42,1.0
1,1.0,0.0,0.14285714285714285,1.0,0.14285714285714285,0.0,0.0,22.940832,80.029915,0.0,11.7,0.0
2,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,24.570002,84.74712,1.4000001,13.88,0.0
3,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,24.074167,88.06973,2.3,14.1,0.0
4,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,24.065832,78.66004,0.2,9.05,0.0
5,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,23.601248,79.554,0.2,8.35,0.0
6,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,24.217918,84.95144,1.0,11.7,0.0
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.409578,89.413734,7.5999994,14.52,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.613752,83.03884,2.1,11.66,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.695,79.036316,0.3,10.32,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.12625,79.3784,0.0,11.68,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.78875,78.31664,0.0,13.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.697084,79.14144,0.9000001,11.8,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.980417,78.55537,0.0,12.58,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.492914,78.34923,0.2,10.59,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.34083,79.822685,8.7,9.16,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.353333,78.30949,2.9999998,7.09,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.65125,78.97149,1.9,7.75,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.863749,84.41903,2.0,11.07,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.6825,94.00332,22.000002,10.78,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.519999,85.93072,3.1,8.76,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.674166,78.465675,0.1,3.69,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.874166,78.75819,0.3,5.05,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1825,81.90455,1.0,5.42,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.828333,87.97168,2.7,4.8,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.290833,84.879425,7.4,6.61,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.805418,83.19287,5.9999995,4.34,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.886667,83.70356,4.7000003,7.87,0.0
